lat,lon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.5,77.5,11,0,0,0.1,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,4.4,0,0.6,0,9.6,4.7,0,5.5,0,1.2,2.9,0,0,3.6,0.8,0,1.6,7.9,7.9,0,12.1,7.4,2.6,6.1,19.8,5.9,0,0,0,0,0,18.5,99.6,40.2,8.3,14.4,0.9,16.8,53.2,55.6,11.7,20.2,4.7,0,0,4,16.8,44.3,3.7,2.1,11,0,2,2.9,11.6,1.3,0.9,0,0,8.7,0,0.4,0.2,5.7,5.9,0.8,44.3,8.6,0.4,2.1,1.7,1.1,0,0,0,2.2,41,32.8,9.5,3.3,0.4,3.8,33,77.1,5.1,7.1,5.5,6.1,0,0,0,0,0,15.3,0,0,0,0,9.8,5,28.7,6.4,4.1,0,0,26.3,0,55.6,9.6,10.6,6.5,0,0,0,0.4,0,18.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26.5,77.5,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,0,0,0,0,0,0,0,0,0,0,0,0,1.1,0,0,0,0.9,1,0,0,0,0.3,0,1.5,0,0,8,13,0.9,0,79.6,21.3,5.5,6.7,0,0,0,0,0,4,18.8,24.1,27.8,19.6,11.1,12.3,57.6,20.5,104.4,64.9,3.8,19.6,9.4,0,7.9,10.1,10.5,17.7,2,18.6,0,0,1.7,90.1,37,3,0,0,0,0,0,0,0,9,0.6,9,0.8,11.3,11.4,6.7,0,0,0.8,0,14.6,25.6,15.2,3.5,0,0,0,7.2,5.3,8.9,24.1,21.2,15.9,0,0,7.1,0,0,6.3,0,0,0,0,0,9.8,8.2,5.1,11.1,14.4,18.7,43.1,12.7,1.4,10.2,0.2,0.8,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0
27.5,77.5,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7,0.2,0,0,0,0,0,0,0,0,0,0,0.2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,1,0,0,4,1.7,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0.3,0,0,0,0,0,0,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,1.9,1.2,17.4,0,0,0,0,0,0,0,1,26.9,45.5,0,1.2,13.3,25.8,24.6,0,0.4,0,0,0,0,0,0,17.8,67.2,46.1,2.4,23.7,17.4,11.2,28.6,45.4,9.3,0,2.1,8.1,23.7,6.8,20.1,15.1,1.7,41.8,3.2,0.9,0.3,5,39.1,3.9,0,0,0,0,0,0,0,6.9,0,20.7,51.8,0.3,5.8,0.5,1,0,6.8,0,9.2,14.1,20.7,5.2,0.4,0.2,8.5,1.8,1,1.5,8.8,4.8,6,0,0,39.1,0.2,0.4,1.4,8.9,0.7,0,0,0.8,17.6,2.2,0.2,12.8,2.2,52.7,34.8,20,0.3,4.7,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.8,0,0,0,0,0,0,0,0,0
28.5,77.5,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,0,0,0,0,0,0,0,1.8,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,1.5,0,0,0,0,0,0,0,0,0,0,0,0,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,16.2,0,0,0.6,0,0,0.3,16.7,0.1,0,2.9,5,0,0.6,0,0,0,0,4.2,6.4,0,1.9,5.7,26,164.5,7.8,2.1,30.7,5.1,5.8,14.5,0,0,3.3,6.6,21.4,33.9,5.5,47.4,40.2,39.8,2,7.3,3.6,0,9,0.9,0,0,0,0,0,0,0,0,0.9,45.7,28.9,5.9,0.5,0.4,0,0.3,0.8,0,2.7,16.9,4.9,1.6,0,0,0.1,0,0,18.1,5.9,4.7,18.5,0,0,18.6,0,3.1,0,1.2,0,0,0,0.1,6.1,0,32.4,63,31.3,53.2,17.2,20.8,11.6,0.3,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9,0.4,0,0,0,0.1,1.4,0,0,0
29.5,77.5,15,0.1,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0,0,0,0,0,0,0,0,0,0,0,3.1,5.1,0,0,0,0,0,0,0.1,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1.6,0,1.1,3.6,0.2,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,0,0,0,0,0,0,0,0,0,7.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.2,0,20.7,0,0,26.8,31,0,0,6.5,15.5,21.9,3.3,2.4,0.4,0,0.1,26.7,0.3,0.8,1.3,0,18.4,116.2,20.1,0.7,1.2,0.8,2.3,3.9,0,0.2,15.1,46.7,4,4,11.2,57.5,43.7,33.9,67.1,8.7,11.8,0,1.1,8.4,0,6.4,0,0,0,0,0,0,10.7,0.3,14.2,1.6,1.6,0,2.9,0,0,0,0,0,2.9,0,1.7,0,0,3.6,0.3,8.6,0.2,0.1,0.4,4.2,7.2,5.9,0,0,0,0,0,0,12.8,0,1,0,3.9,35.5,74.3,46.5,16.6,12.8,29.4,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.3,0,0,0,0.5,1,3.7,0,0,0
30.5,77.5,16,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1.2,1,0,0,0,0,0,0,0,0,0,0.2,1.9,0.6,2.4,0,0,0,0,0.2,0,1.9,3.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.4,0,4.9,0.8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,7.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,2.1,5.1,2,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.1,10.3,6.2,0,0,0,5.6,38.2,3.1,0.4,0.8,29.9,16,25.1,19.1,5.9,1.4,1.4,2.6,23.1,10.9,7.8,23.9,9.3,15.3,11.6,16.9,54.6,9.7,13.8,32.2,51.7,62.1,38,82.7,35.1,3.4,51.9,93.3,88.3,60.5,47.7,80,25,2.4,57,15.1,1.5,0.2,5.5,0,0,0,3,0,0.2,49.2,131.3,42.7,4,26.6,1.6,0,0,0,0,0,5.1,38.9,8.3,6.5,29.5,0,57.1,54.1,64.4,1.8,2.1,2.3,54.8,3.1,0,0,0,0,0,0.4,0,8.9,0,0,0.6,2,31.9,73.7,39.8,7.9,35.5,30.4,13,40.2,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,3.3,0,0,0,0,0,1,24.8,11.5,0,0,0,5,6.5,0,0,0
31.5,77.5,17,1.3,0,0,0,0,0,0,0,0,11.8,1.8,0,3.4,6.3,5.1,0.7,0,0,0,0,0,0,0,1.9,2.7,4.2,5.5,7.7,14.5,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0,0,0,2.1,0,1.8,0.3,0.5,0.2,4.7,9.9,8.8,0,0,0,0,0,0,1.2,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.3,12.2,8.1,0.2,0,3.4,5.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0.2,4.5,0,0,0,0,0,4,1.9,4.8,0.5,0,0.5,0,1.3,2.5,0,0,0,0,0,0,0,0,0,2.4,4.8,3.4,1,3.9,0,0,0.8,0,0,0,0.6,0,4.1,2.7,2.5,3.7,6.8,0,0,0,0,0.3,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,1,2.3,0.3,1.9,6.8,16.8,13,0,0,0.5,5.6,9.4,2.4,15.9,40.1,7.6,8.1,0,7.6,11.3,42.6,60.7,20.5,4.9,15.8,3.6,0,4.1,3.7,29.3,33.7,0.4,0,10.6,20.8,9.8,1.3,4.4,16.1,6.9,43.9,10.3,9.8,9.6,0,0,0,1.3,0,0,0,0,0,0,3.5,2.9,7.9,0,0.6,1.7,1.3,0,0,6.9,1,2.5,6.8,14.6,8.8,0,0.5,1.1,0,1.7,6,20.4,3.9,8.3,0.5,0.2,0,0,4.5,0,0,0,0,4.9,4.2,0,0.6,6,14.8,14.8,18.4,13.7,8.6,12.7,2.9,0,0,0,0,0,0,0,1.2,1.2,1.3,0,0,0.8,0,0,1.1,0.6,1.5,22.6,0,0,0,2.8,6.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.6,10.4,4.1,0,0,0,0,0,64.9,13.6,0,0,0,59,67.6,6.8,0,0,0
32.5,77.5,18,5.9,15.9,0.9,0.7,0,0,2.1,2.1,6.2,2.1,11.2,0,0,9.4,7,13.9,0.2,0,0,0.3,0.2,0,7.3,0.5,0.5,9.9,16,11.1,7.6,16.5,0,2.3,6.2,0,0,7.3,0.2,0,0.5,0,0,0,0,0,0,0.2,0,0,7.2,0.4,0,0,0,0,2.5,0.1,3.3,11.5,6.8,3.5,12.3,15.2,12,0,0,0,0,1.2,2.3,1.5,7.2,5.4,1.8,0,0,0,0,0,0,0,2.3,2.5,0,0,0,0,9,17.6,0,0.7,9.5,52.7,11.4,0,0,0,0.6,1.4,6.6,5.6,4.9,0,0,0,0,0.3,0,0,2,3.1,0,7.8,5.4,2.7,0,0.3,1.3,2.5,13.4,5.6,0.2,0,3,2.9,1.3,0,4.9,0.2,1.2,2.2,0,3.8,0.8,17.3,20.1,11.6,0,0,0,0,0,0,0,0,0,3.6,7.9,7.8,12.2,29.6,22.7,0,0,0,0,5.2,3.8,0,0,0,0,0,0,0,0,0,3.7,0.9,0.7,0,0.5,0.2,0,0,0,0,0,1.9,1.4,6.2,3.3,7.4,0,0,0,6.2,1.8,4.5,2.8,3.3,4.3,3.7,5.1,10,9,22.4,45.3,29.2,41.8,8,5.4,0.8,1.4,4.3,25.5,22.4,21.6,13.1,8.4,14.9,18.3,10.7,2.9,4.4,5.6,4.7,10,13.4,18.9,6.5,1.5,6.6,3.9,1.5,4.3,1.7,3.5,0,0,0,0,0.3,8.4,9.8,3.5,2.2,1.2,0.5,0.3,0,3.1,6.2,12,13.5,21.5,13.7,9.2,1.2,1,5.5,5.2,3.7,15.5,18.6,0,25.1,2.4,1.5,1.5,0,0,0,1.7,9.2,2.9,11.8,2.3,7.3,27,31.7,42,30,30.5,37.9,30.6,0,1.1,0,0,0,0,0,3.6,0,0,0,0,0,0,0,0,4.8,17.1,0,2.5,8.2,14.2,11.7,9.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.4,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,1.6,7,27.4,20.1,2.3,0,0,3,5.7,33.5,11.6,0,0,0,9.2,26,7.7,0,0,0
24.5,78.5,19,0,0,0,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7,0,0,0,0.2,0,0,0,0,0,0,0,0.1,3,0,0,6.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0.6,0,0,0,0,0.2,0,0,9.1,27.8,7.8,0,0.3,1.2,1.1,6.5,10.8,0.4,3.6,14.6,0,0.7,18.9,9.4,0,0.4,32.1,29.8,22.9,43.2,2.8,0.4,0,0,0,0,25,90.6,24.6,5.6,45,25.9,86,116.9,212,41.7,29.6,29.1,2.9,0.9,0.3,0.6,7.1,27.6,17.9,4.3,0.3,8.6,9.6,12.4,14.2,15.1,1,0.6,2.7,3.4,4.7,0.6,4.1,0,0.8,0,1.5,0,20.5,1.6,0,0.7,5,4.3,21.8,62.5,17.1,3.1,0,0,2.5,2.6,36.4,11.7,2.8,4.8,0.5,0.9,0,5.5,0,0.2,0.6,0.3,17.2,1.9,3.8,7,26,26,1.9,14.8,2.2,3.9,0.4,7,41.8,2.2,4.4,4.7,5,0.4,0,0,8.5,33.9,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25.5,78.5,20,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0,0,0,0.4,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.2,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6,0.3,0.3,9.3,1.7,0.2,1.7,0,0,0.4,0,0.6,0,0.7,0,0,7.1,25.9,9,10.8,11.9,2.4,27.9,12.8,1.6,0,0,0,0,0.7,8.8,23.5,2.9,29.8,2.3,34.6,47.2,45.1,33.2,6.5,9.7,5.4,10,2,19.6,63.8,42.8,0,0.3,17.1,0.7,35.3,1.9,63,0,17.8,0,0,0,0,0,0.6,6.5,0.4,4.7,7.8,0,6.9,0,0,0,0,0,1.4,1.1,26.6,7.3,0.2,0,0.2,0,33.2,67.4,1.4,0.2,4.1,12.4,0.2,0,15.7,0,0,0.8,0.3,0,0,0.7,12.8,9.4,1.7,0.2,24.9,0,0,1.3,10.3,84.6,11.7,0,5.4,0,0,0,0,0.1,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2,0,0,0,0,0,0.1,0,0,0
26.5,78.5,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,3.7,1.8,0,6.5,0,0,0,0,0,0,1.9,2.4,0.8,0,0,40.4,29.4,1.9,15.1,4.1,1,2.7,2.2,0,0,0,0,0,0,15.3,35.3,24.2,30.3,2.5,0,46.8,70.1,54.9,26.6,6.8,1.9,7.8,8.7,6.8,9.5,24.1,1.9,14.5,31.2,0,2.2,9.3,33.8,13.9,17.1,0,0,0,0,0,0,2.8,37.8,0.3,25.7,0.9,6.9,4.4,0,0,0,0,1,32,19.7,5.2,1,0,0,5.4,51.6,135.8,0.9,0.1,43.9,0.2,0,0,8.1,0,0,17.6,0,0,0,0,24.9,59.3,25.6,0,1.4,1.3,0,16.8,13.6,49.3,84.2,2.5,0,0.4,0,0,0.4,0,8.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,3.3,0,0,0,1.9,0,0,0.6,0,0
27.5,78.5,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0.6,0,0,0,0,0,0,0,0,0,0,0.3,0,5.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4,0,0,0,0,0,0,0,0.2,0,0,0.2,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,31.4,0,9.2,21.2,0,0,11.4,22.1,0.2,0,13.7,2.3,3.8,0,1.8,0,0,0,2.3,16.4,2.5,2.1,48.8,73.2,19.2,7,54.3,11.4,16.6,5.7,0.8,0,5.1,24.1,27.3,13.4,8,11.5,3,19.8,5.7,2.8,4.5,18.5,49.4,16.2,0,0,0,0,0,0,0,4.2,8.9,1.9,33.5,4,0,0,2.3,0,0.1,0.4,4.8,8.1,8,1,0,0,0,53.6,10.8,0,2.6,0,12.5,0,0.8,34.8,0,3,0,2.8,0,0,0,0.5,9.8,0.6,0,8.5,5.7,0,3.2,32,28.8,4.4,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.6,0,0,0,0,0.4,0,0,0,0
28.5,78.5,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.5,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0.2,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.2,0,0,0,0,0,0,0.7,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,0,0,0,0,0,0,0,0,0,0,6.2,0,0,0,19,0,1.3,9.7,0,0,0,36.2,0,0,1.4,1.4,2.7,0,0,0,1,5.8,13.5,0,0,2.4,0,10.7,22.1,16.5,1.6,18.4,4.5,4.8,3,0,0,56.8,97.8,24.5,4.9,28.4,41.8,10.9,10,36.6,16.9,42.7,0,43,30.8,0,0,0,0,0,0,1.4,0,28,9.5,82.7,0,0,0.5,0.6,0,0,0,2.5,27.3,1.2,1.3,0,0,1.4,17.1,0.9,10.3,0,0.2,2,0,5.6,11.8,20.5,1.3,0,0,0,0,5.1,0.6,0.1,0,0,2.7,22.8,93.7,17.1,43.6,28.5,17.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,2.5,0,0,0
29.5,78.5,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6,4.6,10.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.1,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0,0,0,0,0,0,0.3,6.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.5,0,20.4,12.5,0,0,0,42.1,10.3,0,0,24.1,3.6,15.7,5,0,0,4.4,33.1,0,23.8,4.2,0,6.5,57.3,7,4.1,60,25.3,1.7,33.3,0,18.5,72.6,148.4,2.1,0,10.9,0,10.1,11.2,31,41.5,23.6,0,0,10,0,15.1,0,0,0,0,1.4,8.6,10.1,11.3,58.6,2.6,36.5,21.6,5,0,26.6,0,0,0.2,0,0,0.6,0,4.8,69.4,3,10.6,0,0,0,7.6,0.5,15,2.6,0,0,0,0,0,16.7,0,0,0,0.7,0,89.3,65.8,26.4,77.6,21,23,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.4,0,0,0,0,0,7,0,0,0
